119lA	15	0	10	8	5	11	1	10	13	15	5	11	3	5	13	7	12	9	3	0	6	0	34	0	75	39	14	2	0	0	7	8	23	17	7	0	11	7	33	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	5	0	0	5	7	0	20	0	0	14	109	39	4
193lA	12	8	7	2	3	12	1	6	6	8	2	14	2	3	11	10	7	6	6	0	3	0	26	8	61	22	12	1	5	0	2	3	10	9	6	3	13	2	28	4	0	0	0	0	0	2	4	0	0	0	1	6	0	0	5	0	1	1	6	0	13	3	0	8	59	62	4
1ab3A	3	0	3	8	2	6	5	5	7	12	2	1	3	5	12	3	4	5	0	0	2	0	17	0	43	24	4	0	0	0	0	8	13	11	2	1	9	3	17	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	3	0	0	0	3	0	11	0	0	0	33	55	1
1ab8A	11	5	11	9	9	13	4	14	11	15	5	8	5	7	3	12	12	14	1	0	8	0	35	5	71	48	18	1	1	0	4	11	24	19	6	3	12	5	27	2	0	0	1	0	0	1	7	0	0	0	2	14	3	0	10	0	0	3	6	0	14	0	0	48	74	55	4
1abrB	10	9	17	9	3	22	2	17	16	18	10	18	7	12	10	28	20	14	11	0	14	0	56	9	115	59	28	1	4	0	6	16	23	19	9	6	27	14	50	3	0	0	0	0	0	3	2	0	0	0	3	8	4	0	14	0	0	13	12	0	28	1	0	101	30	136	2
1abvA	17	1	4	13	6	4	2	4	2	11	3	5	3	6	5	5	4	8	1	0	1	0	28	1	42	26	8	0	1	0	2	5	11	15	7	3	12	9	13	0	0	0	0	0	0	1	3	0	0	0	0	5	0	0	3	0	0	0	5	0	9	0	0	0	88	17	1
1acaA	9	0	7	10	3	5	2	4	15	5	3	2	2	2	1	3	4	3	2	0	4	0	21	0	41	15	9	0	0	0	3	2	6	6	5	2	8	6	22	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	4	0	0	2	5	0	8	0	0	0	60	26	1
1acoA	59	12	47	42	23	72	24	56	52	64	10	34	42	27	36	38	45	41	9	0	20	0	150	12	368	171	52	3	7	0	16	37	80	96	41	10	75	24	172	10	0	0	0	0	0	2	16	0	0	0	0	33	3	0	23	0	0	3	30	0	69	2	0	146	275	332	3
1acpA	7	0	6	14	2	4	1	7	4	5	1	3	1	4	1	3	6	7	0	0	1	0	27	0	27	20	3	0	0	0	1	3	10	9	5	2	8	10	7	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	1	0	10	0	0	0	30	47	1
1ad3A	34	7	25	29	13	30	11	29	29	37	11	18	23	21	19	30	23	37	5	0	15	0	93	7	199	114	33	2	1	0	8	32	51	50	19	9	30	29	98	4	0	0	1	0	0	2	9	0	0	0	1	24	3	0	14	0	0	6	15	0	35	2	0	77	212	157	3
1addA	23	5	20	35	13	22	11	16	28	31	9	14	18	8	15	15	18	29	4	0	15	0	77	5	150	85	32	2	3	0	11	16	42	38	20	6	27	17	62	1	0	0	0	1	0	3	6	0	0	0	0	22	1	0	13	0	0	6	18	0	33	0	0	44	182	123	3
1adtA	31	13	14	16	18	12	14	8	18	32	10	16	15	14	11	19	12	18	5	0	5	0	60	13	132	68	28	1	5	0	3	18	27	31	14	7	31	9	52	7	0	0	0	2	0	1	7	0	0	0	3	13	2	0	16	0	0	5	15	0	27	4	0	30	106	165	1
1aepA	27	0	4	13	2	3	6	6	8	17	0	14	3	18	1	10	12	7	2	0	0	0	49	0	70	30	4	0	0	0	1	2	16	13	12	0	20	12	30	0	0	0	0	0	0	0	1	0	0	0	0	15	0	0	3	0	0	0	3	0	24	0	0	0	127	26	1
1af5A	5	1	7	5	7	7	2	9	12	18	0	5	4	12	4	7	5	9	2	0	5	0	29	1	46	36	14	1	1	0	2	7	10	20	10	9	15	5	11	0	0	0	0	0	0	1	3	0	0	0	0	7	0	0	2	0	0	1	9	0	11	0	0	20	49	57	4
1afiA	10	2	4	3	2	4	0	1	9	3	1	0	3	3	1	5	9	11	0	0	1	0	10	2	41	16	3	0	2	0	2	1	14	12	1	0	4	1	18	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	3	0	7	0	0	23	23	26	4
1ag2A	2	2	5	7	3	6	3	3	4	2	7	8	3	8	6	4	9	9	1	0	11	0	28	2	37	21	15	3	0	0	2	4	8	10	5	2	12	10	12	0	0	0	0	0	0	1	5	0	0	0	1	4	2	0	7	0	0	2	5	0	7	0	0	4	57	42	4
1agrE	7	4	5	17	8	1	1	8	16	11	2	7	3	3	5	13	6	4	2	0	5	0	32	4	52	25	15	2	2	0	3	3	8	11	8	5	10	9	24	3	0	0	1	0	0	0	4	0	0	0	1	9	0	0	5	0	0	2	6	0	10	1	0	0	94	34	1
1ah6A	13	0	12	22	11	12	1	20	15	21	4	8	5	9	10	17	12	14	1	0	6	0	51	0	85	59	18	1	0	0	3	13	22	27	16	8	24	11	33	0	0	0	0	0	0	0	5	0	0	0	0	13	0	0	6	0	0	6	6	0	18	0	0	49	90	74	4
1ahqA	11	2	10	10	6	7	3	8	13	5	3	5	4	7	5	9	7	12	1	0	5	0	32	2	59	28	12	0	1	0	5	5	13	13	7	2	16	4	23	0	0	0	0	0	0	0	3	0	0	0	2	7	1	0	5	0	0	3	6	0	16	0	0	41	45	47	4
1aihA	13	2	6	14	9	7	6	9	9	20	6	10	8	4	11	11	12	7	1	0	5	0	34	2	77	42	15	0	0	0	6	12	15	21	12	2	18	4	33	0	0	0	0	0	0	1	0	0	0	0	1	4	1	0	7	0	0	4	11	0	16	1	0	12	89	69	4
1ak4C	12	0	3	11	2	11	5	12	5	10	8	7	12	10	6	6	9	10	4	0	2	0	31	0	66	40	8	0	0	0	1	9	19	18	9	3	13	7	30	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	3	0	0	3	4	0	14	0	0	6	87	52	1
1ak5A	28	6	16	20	13	31	4	27	22	21	8	14	10	11	13	27	13	28	3	0	14	0	61	6	148	84	30	4	3	0	7	18	45	43	10	9	30	7	57	1	0	0	0	0	0	3	8	0	0	0	2	16	2	0	10	0	0	3	15	0	34	1	0	69	126	134	3
