id	skewness	kurtosis
1aco	0.005746003240346909	-0.5296853372098534
1ad3	0.007325348420029826	-0.6132050965429098
1add	-0.02252563585837682	-0.8724145472983214
1ak5	0.022298892339070637	-0.242430746863743
1amp	-0.12099544207255046	-0.8755856389604116
1art	0.17410285025835037	-0.7002904496248524
1asu	-0.2809314678112666	-0.27486418694231407
1ayl	0.0009680607666571935	-0.9674318303474717
1bam	0.00786015639702479	-0.8735917503652072
1bco	0.042172769705454506	-0.9230832542393781
1ble	-0.04844534791967211	-0.823679380952
1bmt	-0.15540707732240358	-0.6295650538342383
1bnc	0.07981127128005028	-0.7463201667550488
1bro	0.021626542322337634	-0.7206912251484472
1brs	-0.03478819162895282	-0.8515513364963381
1byb	0.07931748280922572	-0.7756441983874359
1cbg	0.08020458867152531	-0.8308048259230075
1cdg	0.03702450543642044	-0.7168744405053437
1cfr	-0.0962200661500295	-0.47935114469453016
1chd	0.09577720550199349	-0.7411134935153642
1chm	-0.021606196959813435	-0.7222362141172152
1coy	0.018308947483698528	-0.8474252906521301
1cse	0.12087558582425117	-0.829637366949624
1ctt	-0.11372868220011394	-0.8235691510964592
1cus	0.009671640892823538	-0.8272530537517095
1dea	-0.05145681121697028	-0.8189237693180753
1dfj	-0.07513728737831116	-0.8500386824908788
1dik	-0.11962280422449112	-0.8367437428414993
1din	0.060097778836886086	-0.8551177750236637
1djx	-0.23221387589971224	-0.5229489895190559
1dnp	0.0593391532699267	-0.5305782289275364
1dor	-0.060340018942952156	-0.63704327060311
1dos	-0.2225118726491928	-0.30679274477077895
1dra	0.026183941556761663	-0.8238566789085405
1dsb	-0.0015103289236625024	-0.9453832317181095
1dts	-0.22731003413597742	-0.7062353292673874
1e2b	-0.015387664494269034	-0.7982568331663302
1ebh	0.028323616832494732	-0.7470273862802277
1ede	-0.004659262485802174	-0.8688722279899547
1erj	-0.006967093097046018	-0.8247114351762123
1esc	-0.10727130062878132	-0.7313806026715225
1exn	-0.11572956293821335	-0.6882346833280178
1fnb	-0.18573871751626334	-0.49861255875729915
1fua	0.12279440959294637	-0.5917915001339334
1fui	-0.0791356417402211	-0.6780533628098485
1gar	-0.021544888770828642	-0.681000200101469
1gdl	-0.17373219629128775	-0.7836656259453926
1ges	-0.08924492945273717	-0.8693780456600542
1gky	0.18191717565059662	-0.5754054304555126
1gla	-0.1360507582624753	-0.6213377062768102
1gnd	-0.24872572844227156	-0.7149619901382893
1gpb	0.18508156140645346	-0.669227034387911
1gpl	-0.03346222514907519	-0.6437883143229648
1gpm	0.058081919948259994	-0.7467945499540328
1grl	-0.02382578430253835	-0.8928422629258895
1gym	-0.010203522940476736	-0.7681992483186283
1hjr	-0.01982544735074044	-0.7380931237649433
1hmy	0.26777590811252594	-0.49353145073509647
1hpl	0.09869355460007986	-0.7223225094442332
1hpm	0.04936102374146382	-0.5841479166342841
1hrd	0.1290921303961012	-0.683023941333832
1htt	0.0029100831598043303	-0.8119904399273438
1hvq	0.0472204132626454	-0.9347322411772602
1idm	0.07463615636030833	-0.7440570912714991
1kfd	0.12164683267474174	-0.5138486672006364
1kif	0.020420267091443144	-0.7329300845618429
1lam	-0.14647705604632696	-0.7127013985029453
1lct	-0.03024273117383321	-0.9383661874186037
1lfa	0.12533669685944915	-0.672721150375361
1luc	0.018495601291457817	-0.9550973301659536
1mek	0.09453737653578477	-0.673002285330793
1mio	-0.0737916249781847	-0.5076326694468501
1mla	0.23765127547085285	-0.8739269384311755
1mmd	0.062012369434038796	-0.810483411756834
1nal	0.03816153171161811	-0.7249454081671574
1nba	0.004288106768702473	0.17207927575592935
1nfp	-0.058090592424074806	-0.6197897514095078
1noy	nan	nan
1nul	0.017397068440914154	-0.18464113363831774
1nzy	0.00217967521813181	-0.6382292205622456
1obr	-0.05547620728611946	-0.9039028855886486
1orb	-0.12683972467978796	-0.7852622469180085
1ord	-0.18742450202504796	-0.5045549392703794
1pau	0.15955906423429647	-0.5527703276891677
1pbn	0.0355224241502583	-0.688755023402653
1pdo	0.1856465426584085	-0.25084451686367787
1pfk	-0.054562528928120926	-0.820997111598176
1php	0.0009905211627483368	-0.776212929126312
1phr	0.13716200242439905	-0.7928978827917718
1pii	0.14610646416743597	-0.7398858707877921
1pky	0.0007526476401835715	-0.7795302410489854
1pta	-0.012011498212814331	-0.8168267423074896
1pud	-0.11324459376434486	-0.6715294016331135
1pvd	0.14171793622275194	-0.5868919418425325
1pvu	-0.19899608815709752	-0.2592789789642501
1pxt	0.04170908763383826	-0.7060429674254654
1qap	0.11782255272070566	-0.8204707236432419
1qba	0.0631256898244222	-0.8383276691303111
1qrd	-0.008641615509986877	-0.6198862713088708
1raa	0.020869942614808686	-0.7086966072986365
1req	-0.10423978697508574	-0.46842712825188093
1rla	-0.05117609186304941	-0.5610140940519578
1rlr	-0.013404453794161478	-0.594151849188543
1rpa	-0.04416834811369578	-0.5844049075402631
1rva	nan	nan
1rvv	-0.0412593169796714	-0.4576972683240166
1scu	0.10255754304428896	-0.7691370978216774
1sfe	-0.13129241888721785	-0.8361316042448034
1sft	-0.015431726972262083	-0.7485496658619778
1tah	-0.025664080555240307	-0.7205992839748375
1tfr	0.1556538095076879	-0.7154140344351102
1tht	0.08480512474973996	-0.7360571220885831
1tml	-0.007331761221090953	-0.9027624014030944
1tpf	-0.018496836225191757	-0.6256173826924469
1tpl	-0.08070140991670391	-0.7125960657457416
1tpt	-0.002622311313947042	-0.7838178132132795
1trk	0.15921588335186243	-0.6994449770617259
1ucw	-0.01773877007265886	-0.7079320890659033
1udg	-0.09029481187462807	-1.0092398196706178
1v39	0.07682472467422485	-0.9281042891421434
1vhr	-0.005951885133981705	-0.8419455497195907
1vid	0.07001147046685219	-0.898764078126736
1wht	0.19341778506835303	-0.7204904929432974
1xel	0.019770392682403326	-0.9315786223389181
1xva	0.14083571980396908	-0.09015749812816276
1xyz	-0.1798607235153516	-0.7274829910596501
1yas	-0.03609086386859417	-0.8390657675114577
1yve	-0.0385031431602935	-0.8088452827267751
1zym	-0.07185266896946511	-0.46337055143398
2acr	0.03867299032087127	-0.8621647397395806
2anh	-0.054255681190018855	-0.6666168200213982
2bgu	-0.08046829347343494	-0.8877369764235254
2cmd	-0.0443936021377643	-0.8090201605882187
2ctb	0.09697348376115163	-0.8123840390187919
2dkb	0.13616449385881424	-0.8056288613465611
2dln	-0.033412584414084755	-0.6240942764910811
2dri	0.06881830530862014	-0.8485804322231049
2fx2	-0.06345942243933678	-0.8682097037149802
2glt	0.31002641717592877	-0.6204935805522155
2gst	0.12833782499607577	-0.7727707160393182
2hnp	0.00820595771074295	-0.6963771895373969
2kau	0.14565980571529105	-0.6166437684049232
2mas	0.003646806813776493	-0.8213292821979133
2mnr	0.06550504888097446	-0.7775329746906108
2nac	-0.0009217721720536504	-0.6859210344143473
2ohx	0.02324912883341312	-0.7738369493483956
2olb	-0.16845105091730753	-1.194183222904189
2pia	-0.01681653286019961	-0.7327323608124185
2reb	0.005947158982356389	-0.6967482272737969
2rn2	0.10478469418982665	-0.6028287692330719
2rsl	-0.029401725365055937	-0.7920962559636053
2tmd	-0.10193956426034372	-0.4222121679161709
2trc	0.06102764440907372	-0.8288751158414414
2trx	0.020650635162989296	-0.9375434929739764
2xis	0.36701522519191104	-0.3074128318886277
2yhx	-0.3536740193764369	-0.5720786853377217
3chy	-0.06049252487719059	-0.5278876961803253
3cla	0.06397655854622523	-0.7149505067121212
3pga	-0.003782988603537283	-0.8300626143711838
3pgm	0.006785176694393158	-0.7957464153479675
3pmg	-0.010293247178196909	-0.7783825666697893
3rub	0.036290320567786694	-0.3806824455036446
5p21	-0.11428449799617131	-0.6607107238998798
